"";"name";"PN03372FQ"
"1";"Q1.99";"63603"
"2";"Q2.99";"63902.7"
"3";"Q3.99";"68290.02"
"4";"Q4.99";"68445"
"5";"Q1.00";"68093.16"
"6";"Q2.00";"67514.05"
"7";"Q3.00";"67205.97"
"8";"Q4.00";"67793.65"
"9";"Q1.01";"65739.52"
"10";"Q2.01";"66391.69504"
"11";"Q3.01";"67418.04"
"12";"Q4.01";"65245.104"
"13";"Q1.02";"65939.505"
"14";"Q2.02";"69788.1717"
"15";"Q3.02";"72719.556"
"16";"Q4.02";"72709.65"
"17";"Q1.03";"74349.608"
"18";"Q2.03";"74296.17"
"19";"Q3.03";"75442.92"
"20";"Q4.03";"78777.28"
"21";"Q1.04";"78688.358"
"22";"Q2.04";"79351.613"
"23";"Q3.04";"76228.82"
"24";"Q4.04";"80248.48"
"25";"Q1.05";"79384.4882"
"26";"Q2.05";"76617.0275"
"27";"Q3.05";"75085.037"
"28";"Q4.05";"76417.999"
"29";"Q1.06";"74241.41088"
"30";"Q2.06";"71848.444"
"31";"Q3.06";"70598.9375"
"32";"Q4.06";"70309.2064"
"33";"Q1.07";"68510.3219409972"
"34";"Q2.07";"67363.3715281"
"35";"Q3.07";"66720.01233"
"36";"Q4.07";"60171"
"37";"Q1.08";"52234.27"
"38";"Q2.08";"55733.2111577637"
"39";"Q3.08";"55114.926385498"
"40";"Q4.08";"59724.3894764152"
"41";"Q1.09";"62102.0582635756"
"42";"Q2.09";"59351.4207282717"
"43";"Q3.09";"58063.166591716"
"44";"Q4.09";"58925.5395508291"
"45";"Q1.10";"57765.9025503404"
"46";"Q2.10";"55828.5303234766"
"47";"Q3.10";"55877.283"
"48";"Q4.10";"55250.97642671"
"49";"Q1.11";"55517.854"
"50";"Q2.11";"54199.31"
"51";"Q3.11";"54771.20723"
"52";"Q4.11";"53593.8606"
"53";"Q1.12";"53044.7736319215"
"54";"Q2.12";"52720.7420541966"
"55";"Q3.12";"51328.44927613"
"56";"Q4.12";"49878.1318118205"
"57";"Q1.13";"48722.5169204284"
"58";"Q2.13";"48190.1737017094"
"59";"Q3.13";"48189.8895308044"
"60";"Q4.13";"48149.017000112"
"61";"Q1.14";"48207.1094535889"
"62";"Q2.14";"48842.393523224"
"63";"Q3.14";"49707.7913328965"
"64";"Q4.14";"50387.8462791294"
"65";"Q1.15";"52956.039108077"
"66";"Q2.15";"53808.8755648194"
"67";"Q3.15";"60403.8048435276"
"68";"Q4.15";"67956.0618540562"
"69";"Q1.16";"70855.8123421521"
"70";"Q2.16";"68927.0359181089"
"71";"Q3.16";"71035.360010008"
"72";"Q4.16";"68056.8938748048"
"73";"Q1.17";"65439.911378985"
"74";"Q2.17";"70793.19515463"
"75";"Q3.17";"61720.3222919094"
"76";"Q4.17";"61162.8885583452"
